Radius,Theta,Direction,Timestamp
4,3.76991129,2,2023-12-17T13:00:29.9037952+01:00
5,3.1415,1,2023-12-17T13:00:36.9075840+01:00
5,2.09439516,1,2023-12-17T13:00:49.9071232+01:00
5,3.1415,2,2023-12-17T13:00:56.9118592+01:00
4,2.09439516,1,2023-12-17T13:01:09.9106048+01:00
5,3.1415,2,2023-12-17T13:01:16.9161728+01:00
3,3.76991129,2,2023-12-17T13:01:29.9263872+01:00
5,3.1415,1,2023-12-17T13:01:36.9309696+01:00
5,3.76991129,2,2023-12-17T13:01:49.9170944+01:00
5,3.1415,1,2023-12-17T13:01:56.9222400+01:00
5,2.51327419,1,2023-12-17T13:02:09.9211520+01:00
5,3.1415,2,2023-12-17T13:02:16.9351936+01:00
4,4.18879032,2,2023-12-17T13:02:29.9247616+01:00
5,3.1415,1,2023-12-17T13:02:36.9298304+01:00
3,3.35103226,2,2023-12-17T13:02:49.9378560+01:00
5,3.1415,1,2023-12-17T13:02:56.9550592+01:00
5,4.18879032,2,2023-12-17T13:03:09.9406592+01:00
5,3.1415,1,2023-12-17T13:03:16.9447040+01:00
5,3.35103226,2,2023-12-17T13:03:29.9443456+01:00
5,3.1415,1,2023-12-17T13:03:36.9485696+01:00
5,2.51327419,1,2023-12-17T13:03:49.9595648+01:00
5,3.1415,2,2023-12-17T13:03:56.9650688+01:00
16,2.29999995,1,2023-12-17T13:04:09.9500928+01:00
5,3.1415,2,2023-12-17T13:04:16.9555840+01:00
4,4.18879032,2,2023-12-17T13:04:29.9543936+01:00
5,3.1415,1,2023-12-17T13:04:36.9668608+01:00
4,3.35103226,2,2023-12-17T13:04:49.9696768+01:00
5,3.1415,1,2023-12-17T13:04:56.9838592+01:00
5,4.18879032,2,2023-12-17T13:05:09.9737984+01:00
5,3.1415,1,2023-12-17T13:05:16.9914880+01:00
3,2.09439516,1,2023-12-17T13:05:29.9752064+01:00
5,3.1415,2,2023-12-17T13:05:36.9804288+01:00
4,2.09439516,1,2023-12-17T13:05:49.9791488+01:00
5,3.1415,2,2023-12-17T13:05:56.9920512+01:00
3,2.09439516,1,2023-12-17T13:06:09.9943936+01:00
5,3.1415,2,2023-12-17T13:06:17.0106624+01:00
3,2.51327419,1,2023-12-17T13:06:29.9975424+01:00
5,3.1415,2,2023-12-17T13:06:37.0032128+01:00
4,2.51327419,1,2023-12-17T13:06:50.0019840+01:00
5,3.1415,2,2023-12-17T13:06:57.0061952+01:00
5,2.93215322,1,2023-12-17T13:07:10.0168448+01:00
5,3.1415,2,2023-12-17T13:07:17.0326656+01:00
4,3.76991129,2,2023-12-17T13:07:30.0085888+01:00
5,3.1415,1,2023-12-17T13:07:37.0189056+01:00
4,3.76991129,2,2023-12-17T13:07:50.0251520+01:00
5,3.1415,1,2023-12-17T13:07:57.0392448+01:00
5,4.18879032,2,2023-12-17T13:08:10.0270976+01:00
5,3.1415,1,2023-12-17T13:08:17.0320384+01:00
3,2.93215322,1,2023-12-17T13:08:30.0435968+01:00
5,3.1415,2,2023-12-17T13:08:37.0491008+01:00
5,3.76991129,2,2023-12-17T13:08:50.0459904+01:00
5,3.1415,1,2023-12-17T13:08:57.0629888+01:00
4,2.51327419,1,2023-12-17T13:09:10.0508544+01:00
5,3.1415,2,2023-12-17T13:09:17.0645888+01:00
5,3.35103226,2,2023-12-17T13:09:30.0538496+01:00
5,3.1415,1,2023-12-17T13:09:37.0656896+01:00
5,3.76991129,2,2023-12-17T13:09:50.0676096+01:00
5,3.1415,1,2023-12-17T13:09:57.0729728+01:00
3,2.09439516,1,2023-12-17T13:10:10.0879360+01:00
5,3.1415,2,2023-12-17T13:10:17.0939520+01:00
3,3.76991129,2,2023-12-17T13:10:30.0898688+01:00
5,3.1415,1,2023-12-17T13:10:37.0950528+01:00
4,2.93215322,1,2023-12-17T13:10:50.0933888+01:00
5,3.1415,2,2023-12-17T13:10:57.0982656+01:00
4,3.35103226,2,2023-12-17T13:11:10.0962944+01:00
5,3.1415,1,2023-12-17T13:11:17.1112576+01:00
5,2.09439516,1,2023-12-17T13:11:30.1000576+01:00
5,3.1415,2,2023-12-17T13:11:37.1147904+01:00
3,4.18879032,2,2023-12-17T13:11:50.1151616+01:00
5,3.1415,1,2023-12-17T13:11:57.1187328+01:00
5,2.51327419,1,2023-12-17T13:12:10.1182720+01:00
5,3.1415,2,2023-12-17T13:12:17.1358208+01:00
5,3.35103226,2,2023-12-17T13:12:30.1213312+01:00
5,3.1415,1,2023-12-17T13:12:37.1265408+01:00
5,2.93215322,1,2023-12-17T13:12:50.1263744+01:00
5,3.1415,2,2023-12-17T13:12:57.1310080+01:00
5,2.09439516,1,2023-12-17T13:13:10.1388928+01:00
5,3.1415,2,2023-12-17T13:13:17.1592320+01:00
